Date,Membership_Choice
2024-01-06,0.48
2024-01-07,0.7
2024-01-08,0.71
2024-01-09,0.0
2024-01-10,0.39
2024-01-11,0.62
2024-01-12,0.56
2024-01-13,0.69
2024-01-14,0.0
2024-01-15,0.22
2024-01-16,0.01
2024-01-17,0.52
2024-01-18,0.66
2024-01-19,0.0
2024-01-20,0.47
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.21
2024-01-26,0.49
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.18
2024-01-31,0.52
2024-02-01,0.65
2024-02-02,0.07
2024-02-03,0.62
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.22
2024-02-08,0.61
2024-02-09,0.71
2024-02-10,0.76
2024-02-11,0.02
2024-02-12,0.0
2024-02-13,0.2
2024-02-14,0.56
2024-02-15,0.67
2024-02-16,0.69
2024-02-17,0.0
2024-02-18,0.53
2024-02-19,0.47
2024-02-20,0.21
2024-02-21,0.06
2024-02-22,0.58
2024-02-23,0.7
2024-02-24,0.72
2024-02-25,0.79
2024-02-26,0.8
2024-02-27,0.01
2024-02-28,0.6
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.23
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.28
2024-03-06,0.58
2024-03-07,0.65
2024-03-08,0.71
2024-03-09,0.79
2024-03-10,0.78
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.2
2024-03-14,0.59
2024-03-15,0.0
2024-03-16,0.49
2024-03-17,0.18
2024-03-18,0.6
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.31
2024-03-22,0.56
2024-03-23,0.7
2024-03-24,0.0
2024-03-25,0.44
2024-03-26,0.63
2024-03-27,0.7
2024-03-28,0.76
2024-03-29,0.81
2024-03-30,0.39
2024-03-31,0.0
2024-04-01,0.19
2024-04-02,0.59
2024-04-03,0.46
2024-04-04,0.0
2024-04-05,0.56
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.36
2024-04-09,0.6
2024-04-10,0.0
2024-04-11,0.56
2024-04-12,0.66
2024-04-13,0.0
2024-04-14,0.32
2024-04-15,0.0
2024-04-16,0.24
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.28
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.38
2024-04-25,0.63
2024-04-26,0.0
2024-04-27,0.29
2024-04-28,0.65
2024-04-29,0.0
2024-04-30,0.05
2024-05-01,0.0
2024-05-02,0.42
2024-05-03,0.0
2024-05-04,0.56
2024-05-05,0.0
2024-05-06,0.32
2024-05-07,0.66
2024-05-08,0.0
2024-05-09,0.43
2024-05-10,0.63
2024-05-11,0.79
2024-05-12,0.0
2024-05-13,0.46
2024-05-14,0.74
2024-05-15,0.0
2024-05-16,0.29
2024-05-17,0.64
2024-05-18,0.74
2024-05-19,0.57
2024-05-20,0.77
2024-05-21,0.78
2024-05-22,0.82
2024-05-23,0.81
2024-05-24,0.81
2024-05-25,0.85
2024-05-26,0.17
2024-05-27,0.72
2024-05-28,0.8
2024-05-29,0.84
2024-05-30,0.82
2024-05-31,0.0
2024-06-01,0.27
2024-06-02,0.0
2024-06-03,0.0
2024-06-04,0.37
2024-06-05,0.0
2024-06-06,0.35
2024-06-07,0.65
2024-06-08,0.0
2024-06-09,0.49
2024-06-10,0.0
2024-06-11,0.48
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.37
2024-06-15,0.66
2024-06-16,0.73
2024-06-17,0.76
2024-06-18,0.85
2024-06-19,0.83
2024-06-20,0.46
2024-06-21,0.0
2024-06-22,0.0
2024-06-23,0.5
2024-06-24,0.7
2024-06-25,0.0
2024-06-26,0.32
2024-06-27,0.63
2024-06-28,0.77
2024-06-29,0.82
2024-06-30,0.83
2024-07-01,0.85
2024-07-02,0.0
